id;origen.x;origen.y;var.x;final_diagnosis_numeric_cor;final_diagnosis_numeric_chi;final_diagnosis_numeric_anova;depression_cor;depression_chi;depression_anova;euthymia_cor;euthymia_chi;euthymia_anova;hypomania_cor;hypomania_chi;hypomania_anova;mixed_cor;mixed_chi;mixed_anova;hospitalized_cor;hospitalized_chi;hospitalized_anova
ALPA;Young;TargetVar;Y_hyperactivity;0.6325;0.6985;0.1778;NA;NA;NA;-0.6325;0.6985;0.1778;NA;NA;NA;0.6325;0.6985;0.1778;NA;NA;NA
ALPA;Young;TargetVar;Y_sex_drive;-0.5;0.7595;0.3125;NA;NA;NA;0.5;0.7595;0.3125;NA;NA;NA;-0.5;0.7595;0.3125;NA;NA;NA
ALPA;Young;TargetVar;Y_irritability;0.1313;0.6873;0.8042;NA;NA;NA;-0.1313;0.6873;0.8042;NA;NA;NA;0.1313;0.6873;0.8042;NA;NA;NA
ALPA;Young;TargetVar;Y_verbal_expression;0.6325;0.6985;0.1778;NA;NA;NA;-0.6325;0.6985;0.1778;NA;NA;NA;0.6325;0.6985;0.1778;NA;NA;NA
ALPA;Young;TargetVar;Y_thought_disorder;-0.25;1;0.6328;NA;NA;NA;0.25;1;0.6328;NA;NA;NA;-0.25;1;0.6328;NA;NA;NA
ALPA;Young;TargetVar;Y_content;0.6325;0.6985;0.1778;NA;NA;NA;-0.6325;0.6985;0.1778;NA;NA;NA;0.6325;0.6985;0.1778;NA;NA;NA
ALPA;Young;TargetVar;Y_appearance;0.25;1;0.6328;NA;NA;NA;-0.25;1;0.6328;NA;NA;NA;0.25;1;0.6328;NA;NA;NA
ALPA;TargetVar;TargetVar;H_mid_insonmia;-0.3162;1;0.5415;NA;NA;NA;0.3162;1;0.5415;NA;NA;NA;-0.3162;1;0.5415;NA;NA;NA
ALPA;TargetVar;TargetVar;H_late_insonmia;-0.3162;1;0.5415;NA;NA;NA;0.3162;1;0.5415;NA;NA;NA;-0.3162;1;0.5415;NA;NA;NA
ALPA;TargetVar;TargetVar;H_activity;0.25;1;0.6328;NA;NA;NA;-0.25;1;0.6328;NA;NA;NA;0.25;1;0.6328;NA;NA;NA
ALPA;TargetVar;TargetVar;H_psychic_anxiety;0.6325;0.6985;0.1778;NA;NA;NA;-0.6325;0.6985;0.1778;NA;NA;NA;0.6325;0.6985;0.1778;NA;NA;NA
ALPA;TargetVar;TargetVar;H_somatic_anxiety;-0.1581;0.6873;0.7648;NA;NA;NA;0.1581;0.6873;0.7648;NA;NA;NA;-0.1581;0.6873;0.7648;NA;NA;NA
ALPA;HRSD;TargetVar;hrsd;0.1715;0.1534;0.7453;NA;NA;NA;-0.1715;0.1534;0.7453;NA;NA;NA;0.1715;0.1534;0.7453;NA;NA;NA
ALPA;Intervenciones;TargetVar;young;0.4006;0.1991;0.4312;NA;NA;NA;-0.4006;0.1991;0.4312;NA;NA;NA;0.4006;0.1991;0.4312;NA;NA;NA
CASGA;Diario;TargetVar;animus;-0.2078;0;0.0022;-0.1297;0.2172;0.0575;0.2618;0.0001;0.0001;0.1208;0.0046;0.0772;-0.275;0;0;NA;NA;NA
CASGA;Diario;TargetVar;anxiety;0.3278;0;0;0.0516;0.5931;0.452;-0.4569;0;0;0.1285;0.0081;0.06;0.2665;0.0011;0.0001;NA;NA;NA
CASGA;Diario;TargetVar;irritability;0.4223;0;0;-0.1222;0.4883;0.0737;-0.3684;0;0;-0.0044;0.0265;0.9484;0.3755;0;0;NA;NA;NA
CASGA;Diario;TargetVar;concentration;0.1004;0.1508;0.1422;-0.0691;0.584;0.3131;0.0249;0.6759;0.7163;-0.1723;0.0354;0.0114;0.1533;0.0791;0.0246;NA;NA;NA
CASGA;Diario;TargetVar;caffeine;0.3937;0;0;-0.1387;0;0.0422;-0.2971;0.0006;0;-0.0624;0.7682;0.3628;0.3695;0.0013;0;NA;NA;NA
CASGA;Diario;TargetVar;sleep_time;0.2267;0.0718;0.0008;-0.0826;0.4835;0.2276;-0.0943;0.259;0.1682;-0.1894;0.0882;0.0053;0.2771;0.0277;0;NA;NA;NA
CASGA;Diario;TargetVar;wakeup_time;-0.0339;0.0092;0.6212;0.0734;0.0014;0.2838;-0.0253;0.2753;0.7118;0.0179;0.5234;0.7936;-0.0242;0.0945;0.7247;NA;NA;NA
CASGA;Diario;TargetVar;motivation;-0.1445;0;0.0343;-0.2683;0;0.0001;0.4169;0;0;-0.132;0.1828;0.0533;-0.1374;0.001;0.0442;NA;NA;NA
CASGA;Diario;TargetVar;sleep_quality;0.1483;0.4583;0.0298;-0.0495;0.7537;0.4702;-0.1298;0.1431;0.0574;0.0093;0.7546;0.8927;0.1259;0.1813;0.0655;NA;NA;NA
CASGA;Diario;TargetVar;slowness_fill_form;0.012;0.6165;0.8609;-0.1528;0.6457;0.0251;0.2172;0.8262;0.0014;-0.2444;0.2189;0.0003;0.0826;0.5158;0.228;NA;NA;NA
CASGA;Diario;TargetVar;sleep_duration;0.0172;0.0274;0.8015;0.1666;0.0003;0.0144;-0.2339;0.5796;0.0005;0.1924;0.6345;0.0046;-0.0299;0.4315;0.6624;NA;NA;NA
CASGA;Diario;TargetVar;sleep_zenith;-0.0559;0.008;0.4147;-0.0157;0.0015;0.8194;0.1237;0.0662;0.0703;-0.1056;0.6474;0.1226;-0.0115;0.2491;0.867;NA;NA;NA
CASGA;Diario;TargetVar;observation_string_length;-0.2666;0.0111;0.0001;-0.1937;0.9941;0.0044;0.5741;0.0009;0;-0.2932;0.029;0;-0.1689;0.0003;0.0131;NA;NA;NA
CASGA;Diario;TargetVar;time_start_form;0.4139;0.6648;0;-0.1126;0.9195;0.0997;-0.4641;0.4716;0;0.1962;0.2388;0.0039;0.2847;0.5017;0;NA;NA;NA
CASGA;Diario;TargetVar;slowness_fill_form_no_outliers;-0.0194;0.6165;0.777;-0.1644;0.6457;0.0158;0.2656;0.8262;0.0001;-0.2559;0.2189;0.0001;0.0553;0.5158;0.4202;NA;NA;NA
CASGA;Diario;TargetVar;slowness_fill_form_no_outliers_scales;-0.0194;0.6473;0.777;-0.1644;0.6834;0.0158;0.2656;0.8517;0.0001;-0.2559;0.2087;0.0001;0.0553;0.5156;0.4202;NA;NA;NA
CASGA;Pulsera;TargetVar;week;0.2407;0;0.0004;0.3627;0;0;-0.7517;0;0;0.4631;0;0;0.1082;0;0.1138;NA;NA;NA
CASGA;Pulsera;TargetVar;night_number;-0.7092;0.1064;0;NA;NA;NA;NA;NA;NA;0.7092;0.1064;0;-0.7092;0.1064;0;NA;NA;NA
CASGA;Pulsera;TargetVar;acc_onset;0.2754;0.4138;0.016;NA;NA;NA;NA;NA;NA;-0.2754;0.4138;0.016;0.2754;0.4138;0.016;NA;NA;NA
CASGA;Pulsera;TargetVar;acc_wake;0.4061;0.4138;0.0003;NA;NA;NA;NA;NA;NA;-0.4061;0.4138;0.0003;0.4061;0.4138;0.0003;NA;NA;NA
CASGA;Pulsera;TargetVar;sleeplog_onset;-0.2199;0.5124;0.0562;NA;NA;NA;NA;NA;NA;0.2199;0.5124;0.0562;-0.2199;0.5124;0.0562;NA;NA;NA
CASGA;Pulsera;TargetVar;sleeplog_wake;-0.2199;0.5124;0.0562;NA;NA;NA;NA;NA;NA;0.2199;0.5124;0.0562;-0.2199;0.5124;0.0562;NA;NA;NA
CASGA;Pulsera;TargetVar;daysleeper;-0.0888;0.9092;0.5961;NA;NA;NA;NA;NA;NA;0.0888;0.9092;0.5961;-0.0888;0.9092;0.5961;NA;NA;NA
CASGA;Pulsera;TargetVar;nonwear_hours;0.321;0.0558;0.0047;NA;NA;NA;NA;NA;NA;-0.321;0.0558;0.0047;0.321;0.0558;0.0047;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_nightsleep_min;-0.0642;0.6143;0.5816;NA;NA;NA;NA;NA;NA;0.0642;0.6143;0.5816;-0.0642;0.6143;0.5816;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_nightwak_and_IN30_min;0.1233;0.6584;0.2888;NA;NA;NA;NA;NA;NA;-0.1233;0.6584;0.2888;0.1233;0.6584;0.2888;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_nightwak_LIG30_100_min;-0.1151;0.7039;0.3221;NA;NA;NA;NA;NA;NA;0.1151;0.7039;0.3221;-0.1151;0.7039;0.3221;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_nightwak_MOD100_400_min;-0.1608;0.0651;0.1651;NA;NA;NA;NA;NA;NA;0.1608;0.0651;0.1651;-0.1608;0.0651;0.1651;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_nightwak_VIG400_min;0.0722;0.7678;0.5352;NA;NA;NA;NA;NA;NA;-0.0722;0.7678;0.5352;0.0722;0.7678;0.5352;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_day_SIB_min;0.0162;0.0466;0.8893;NA;NA;NA;NA;NA;NA;-0.0162;0.0466;0.8893;0.0162;0.0466;0.8893;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_day_OIN30_min;-0.1398;0.446;0.2285;NA;NA;NA;NA;NA;NA;0.1398;0.446;0.2285;-0.1398;0.446;0.2285;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_day_LIG30_100_min;-0.2498;0.5455;0.0295;NA;NA;NA;NA;NA;NA;0.2498;0.5455;0.0295;-0.2498;0.5455;0.0295;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_day_MOD100_400_min;-0.2877;0.6624;0.0117;NA;NA;NA;NA;NA;NA;0.2877;0.6624;0.0117;-0.2877;0.6624;0.0117;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_day_VIG400_min;-0.0649;0.0755;0.5778;NA;NA;NA;NA;NA;NA;0.0649;0.0755;0.5778;-0.0649;0.0755;0.5778;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_MVPA_D1T100_min;-0.035;0.0472;0.7642;NA;NA;NA;NA;NA;NA;0.035;0.0472;0.7642;-0.035;0.0472;0.7642;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_INB_D30T30_min;0.2273;0.446;0.0483;NA;NA;NA;NA;NA;NA;-0.2273;0.446;0.0483;0.2273;0.446;0.0483;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_INB_D10T30_min;0.0026;0.6143;0.9823;NA;NA;NA;NA;NA;NA;-0.0026;0.6143;0.9823;0.0026;0.6143;0.9823;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_INB_D1T30_min;-0.059;0.5455;0.6129;NA;NA;NA;NA;NA;NA;0.059;0.5455;0.6129;-0.059;0.5455;0.6129;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_LIGB_D10T30_100_min;0.1661;0.8434;0.1515;NA;NA;NA;NA;NA;NA;-0.1661;0.8434;0.1515;0.1661;0.8434;0.1515;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_LIGB_D1T30_100_min;-0.0539;0.446;0.6437;NA;NA;NA;NA;NA;NA;0.0539;0.446;0.6437;-0.0539;0.446;0.6437;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_TSIBday_min;0.3745;0.446;0.0009;NA;NA;NA;NA;NA;NA;-0.3745;0.446;0.0009;0.3745;0.446;0.0009;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_TOINday_min;-0.1254;0.446;0.2803;NA;NA;NA;NA;NA;NA;0.1254;0.446;0.2803;-0.1254;0.446;0.2803;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_TLIGday_min;0.0775;0.446;0.506;NA;NA;NA;NA;NA;NA;-0.0775;0.446;0.506;0.0775;0.446;0.506;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_TMODday_min;-0.2402;0.2849;0.0366;NA;NA;NA;NA;NA;NA;0.2402;0.2849;0.0366;-0.2402;0.2849;0.0366;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_TVIGday_min;0.0019;0.074;0.9871;NA;NA;NA;NA;NA;NA;-0.0019;0.074;0.9871;0.0019;0.074;0.9871;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_TINday_min;0.2037;0.446;0.0775;NA;NA;NA;NA;NA;NA;-0.2037;0.446;0.0775;0.2037;0.446;0.0775;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_day_min;0.1871;0.5574;0.1056;NA;NA;NA;NA;NA;NA;-0.1871;0.5574;0.1056;0.1871;0.5574;0.1056;NA;NA;NA
CASGA;Pulsera;TargetVar;dur_night_min;-0.0254;0.5574;0.8275;NA;NA;NA;NA;NA;NA;0.0254;0.5574;0.8275;-0.0254;0.5574;0.8275;NA;NA;NA
CASGA;Pulsera;TargetVar;N_atleast5minwakenight;0.1452;0.9182;0.2108;NA;NA;NA;NA;NA;NA;-0.1452;0.9182;0.2108;0.1452;0.9182;0.2108;NA;NA;NA
CASGA;Pulsera;TargetVar;nonwear_perc_day;0.2891;0.1354;0.0113;NA;NA;NA;NA;NA;NA;-0.2891;0.1354;0.0113;0.2891;0.1354;0.0113;NA;NA;NA
CASGA;Pulsera;TargetVar;nonwear_perc_night;0.2091;0.0242;0.0698;NA;NA;NA;NA;NA;NA;-0.2091;0.0242;0.0698;0.2091;0.0242;0.0698;NA;NA;NA
CASGA;Pulsera;TargetVar;sleep_efficiency;0.108;0.4138;0.3531;NA;NA;NA;NA;NA;NA;-0.108;0.4138;0.3531;0.108;0.4138;0.3531;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_nightsleep_mg;0.2117;0.4138;0.0664;NA;NA;NA;NA;NA;NA;-0.2117;0.4138;0.0664;0.2117;0.4138;0.0664;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_nightwak_and_IN30_mg;0.2129;0.4138;0.0648;NA;NA;NA;NA;NA;NA;-0.2129;0.4138;0.0648;0.2129;0.4138;0.0648;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_nightwak_LIG30_100_mg;-0.115;0.4138;0.3225;NA;NA;NA;NA;NA;NA;0.115;0.4138;0.3225;-0.115;0.4138;0.3225;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_nightwak_MOD100_400_mg;-0.2777;0.2365;0.0151;NA;NA;NA;NA;NA;NA;0.2777;0.2365;0.0151;-0.2777;0.2365;0.0151;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_nightwak_VIG400_mg;-0.0885;0.2041;0.447;NA;NA;NA;NA;NA;NA;0.0885;0.2041;0.447;-0.0885;0.2041;0.447;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_day_SIB_mg;-1;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;-1;1;NA;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_day_OIN30_mg;0.2996;0.446;0.0085;NA;NA;NA;NA;NA;NA;-0.2996;0.446;0.0085;0.2996;0.446;0.0085;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_day_LIG30_100_mg;-0.278;0.446;0.015;NA;NA;NA;NA;NA;NA;0.278;0.446;0.015;-0.278;0.446;0.015;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_day_MOD100_400_mg;-0.2653;0.6694;0.0205;NA;NA;NA;NA;NA;NA;0.2653;0.6694;0.0205;-0.2653;0.6694;0.0205;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_day_VIG400_mg;0.4403;0.1089;0.0001;NA;NA;NA;NA;NA;NA;-0.4403;0.1089;0.0001;0.4403;0.1089;0.0001;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_MVPA_D1T100_mg;-0.3257;0.1089;0.0041;NA;NA;NA;NA;NA;NA;0.3257;0.1089;0.0041;-0.3257;0.1089;0.0041;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_INB_D30T30_mg;0.2117;0.446;0.0664;NA;NA;NA;NA;NA;NA;-0.2117;0.446;0.0664;0.2117;0.446;0.0664;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_INB_D10T30_mg;0.3256;0.446;0.0041;NA;NA;NA;NA;NA;NA;-0.3256;0.446;0.0041;0.3256;0.446;0.0041;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_INB_D1T30_mg;0.3301;0.446;0.0036;NA;NA;NA;NA;NA;NA;-0.3301;0.446;0.0036;0.3301;0.446;0.0036;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_LIGB_D10T30_100_mg;-0.0866;0.5133;0.4569;NA;NA;NA;NA;NA;NA;0.0866;0.5133;0.4569;-0.0866;0.5133;0.4569;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_LIGB_D1T30_100_mg;-0.3177;0.446;0.0052;NA;NA;NA;NA;NA;NA;0.3177;0.446;0.0052;-0.3177;0.446;0.0052;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_TSIBday_mg;0.2528;0.4138;0.0276;NA;NA;NA;NA;NA;NA;-0.2528;0.4138;0.0276;0.2528;0.4138;0.0276;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_TOINday_mg;0.3429;0.446;0.0024;NA;NA;NA;NA;NA;NA;-0.3429;0.446;0.0024;0.3429;0.446;0.0024;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_TLIGday_mg;-0.2247;0.446;0.051;NA;NA;NA;NA;NA;NA;0.2247;0.446;0.051;-0.2247;0.446;0.051;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_TMODday_mg;-0.1318;0.4592;0.2564;NA;NA;NA;NA;NA;NA;0.1318;0.4592;0.2564;-0.1318;0.4592;0.2564;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_TVIGday_mg;0.445;0.1089;0.0001;NA;NA;NA;NA;NA;NA;-0.445;0.1089;0.0001;0.445;0.1089;0.0001;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_TINday_min;0.2808;0.446;0.014;NA;NA;NA;NA;NA;NA;-0.2808;0.446;0.014;0.2808;0.446;0.014;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_day_mg;-0.0216;0.446;0.8528;NA;NA;NA;NA;NA;NA;0.0216;0.446;0.8528;-0.0216;0.446;0.8528;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_night_mg;0.1486;0.4138;0.2002;NA;NA;NA;NA;NA;NA;-0.1486;0.4138;0.2002;0.1486;0.4138;0.2002;NA;NA;NA
CASGA;Pulsera;TargetVar;ACC_nightandday_mg;-0.0699;0.5455;0.5486;NA;NA;NA;NA;NA;NA;0.0699;0.5455;0.5486;-0.0699;0.5455;0.5486;NA;NA;NA
CASGA;Pulsera;TargetVar;quantile_mostactive60min_mg;-0.1799;0.5455;0.1199;NA;NA;NA;NA;NA;NA;0.1799;0.5455;0.1199;-0.1799;0.5455;0.1199;NA;NA;NA
CASGA;Pulsera;TargetVar;quantile_mostactive30min_mg;-0.1889;0.5455;0.1022;NA;NA;NA;NA;NA;NA;0.1889;0.5455;0.1022;-0.1889;0.5455;0.1022;NA;NA;NA
CASGA;Pulsera;TargetVar;L5VALUE;-0.2409;0.4138;0.036;NA;NA;NA;NA;NA;NA;0.2409;0.4138;0.036;-0.2409;0.4138;0.036;NA;NA;NA
CASGA;Pulsera;TargetVar;M5VALUE;-0.0561;0.446;0.6303;NA;NA;NA;NA;NA;NA;0.0561;0.446;0.6303;-0.0561;0.446;0.6303;NA;NA;NA
CASGA;Pulsera;TargetVar;L5TIME_num;0.151;0.3821;0.1928;NA;NA;NA;NA;NA;NA;-0.151;0.3821;0.1928;0.151;0.3821;0.1928;NA;NA;NA
CASGA;Pulsera;TargetVar;M5TIME_num;-0.1413;0.446;0.2234;NA;NA;NA;NA;NA;NA;0.1413;0.446;0.2234;-0.1413;0.446;0.2234;NA;NA;NA
CASGA;Pulsera;TargetVar;L10VALUE;-0.207;0.446;0.0728;NA;NA;NA;NA;NA;NA;0.207;0.446;0.0728;-0.207;0.446;0.0728;NA;NA;NA
CASGA;Pulsera;TargetVar;M10VALUE;0.0206;0.446;0.8595;NA;NA;NA;NA;NA;NA;-0.0206;0.446;0.8595;0.0206;0.446;0.8595;NA;NA;NA
CASGA;Pulsera;TargetVar;L10TIME_num;0.2867;0.446;0.0121;NA;NA;NA;NA;NA;NA;-0.2867;0.446;0.0121;0.2867;0.446;0.0121;NA;NA;NA
CASGA;Pulsera;TargetVar;M10TIME_num;-0.0967;0.446;0.4061;NA;NA;NA;NA;NA;NA;0.0967;0.446;0.4061;-0.0967;0.446;0.4061;NA;NA;NA
CASGA;Pulsera;TargetVar;Nbouts_MVPA_D1T100;-0.0345;0.1269;0.7671;NA;NA;NA;NA;NA;NA;0.0345;0.1269;0.7671;-0.0345;0.1269;0.7671;NA;NA;NA
CASGA;Pulsera;TargetVar;Nbouts_INB_D30T30;-0.0158;0.0222;0.8925;NA;NA;NA;NA;NA;NA;0.0158;0.0222;0.8925;-0.0158;0.0222;0.8925;NA;NA;NA
CASGA;Pulsera;TargetVar;Nbouts_INB_D10T30;0.0128;0.1226;0.9125;NA;NA;NA;NA;NA;NA;-0.0128;0.1226;0.9125;0.0128;0.1226;0.9125;NA;NA;NA
CASGA;Pulsera;TargetVar;Nbouts_INB_D1T30;-0.0167;0.0187;0.8859;NA;NA;NA;NA;NA;NA;0.0167;0.0187;0.8859;-0.0167;0.0187;0.8859;NA;NA;NA
CASGA;Pulsera;TargetVar;Nbouts_LIGB_D10T30_100;0.1651;0.0105;0.1542;NA;NA;NA;NA;NA;NA;-0.1651;0.0105;0.1542;0.1651;0.0105;0.1542;NA;NA;NA
CASGA;Pulsera;TargetVar;Nbouts_LIGB_D1T30_100;-0.1032;0.0468;0.3751;NA;NA;NA;NA;NA;NA;0.1032;0.0468;0.3751;-0.1032;0.0468;0.3751;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_nightsleep;-0.0981;0.3952;0.399;NA;NA;NA;NA;NA;NA;0.0981;0.3952;0.399;-0.0981;0.3952;0.399;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_nightwak_and_IN30;0.0487;0.4453;0.6759;NA;NA;NA;NA;NA;NA;-0.0487;0.4453;0.6759;0.0487;0.4453;0.6759;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_nightwak_LIG30_100;0.0075;0.7191;0.9486;NA;NA;NA;NA;NA;NA;-0.0075;0.7191;0.9486;0.0075;0.7191;0.9486;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_nightwak_MOD100_400;-0.1882;0.2524;0.1034;NA;NA;NA;NA;NA;NA;0.1882;0.2524;0.1034;-0.1882;0.2524;0.1034;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_nightwak_VIG400;0.0784;0.7678;0.5006;NA;NA;NA;NA;NA;NA;-0.0784;0.7678;0.5006;0.0784;0.7678;0.5006;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_day_SIB;-0.0835;0.0466;0.4734;NA;NA;NA;NA;NA;NA;0.0835;0.0466;0.4734;-0.0835;0.0466;0.4734;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_day_OIN30;-0.1488;0.2872;0.1996;NA;NA;NA;NA;NA;NA;0.1488;0.2872;0.1996;-0.1488;0.2872;0.1996;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_day_LIG30_100;-0.2524;0.3171;0.0278;NA;NA;NA;NA;NA;NA;0.2524;0.3171;0.0278;-0.2524;0.3171;0.0278;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_day_VIG400;-0.0825;0.0144;0.4786;NA;NA;NA;NA;NA;NA;0.0825;0.0144;0.4786;-0.0825;0.0144;0.4786;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_MVPA_D1T100;-0.037;0.1269;0.7511;NA;NA;NA;NA;NA;NA;0.037;0.1269;0.7511;-0.037;0.1269;0.7511;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_INB_D30T30;-0.0221;0.0125;0.8497;NA;NA;NA;NA;NA;NA;0.0221;0.0125;0.8497;-0.0221;0.0125;0.8497;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_INB_D10T30;0.0128;0.1226;0.9125;NA;NA;NA;NA;NA;NA;-0.0128;0.1226;0.9125;0.0128;0.1226;0.9125;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_INB_D1T30;-0.0151;0.0184;0.8967;NA;NA;NA;NA;NA;NA;0.0151;0.0184;0.8967;-0.0151;0.0184;0.8967;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_LIGB_D10T30_100;0.1651;0.0105;0.1542;NA;NA;NA;NA;NA;NA;-0.1651;0.0105;0.1542;0.1651;0.0105;0.1542;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_LIGB_D1T30_100;-0.1038;0.0394;0.372;NA;NA;NA;NA;NA;NA;0.1038;0.0394;0.372;-0.1038;0.0394;0.372;NA;NA;NA
CASGA;Pulsera;TargetVar;Nblocks_TSIBday;0.4083;0.0765;0.0003;NA;NA;NA;NA;NA;NA;-0.4083;0.0765;0.0003;0.4083;0.0765;0.0003;NA;NA;NA
