"","id","origen.x","origen.y","var.x","E_final_diagnosis_numeric_cor","E_final_diagnosis_numeric_chi","E_final_diagnosis_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"45","ALPA","Pulsera","TargetVar","S_dur_day_LIG_bts_10_min",-0.1841,1,0.0073,NA,NA,NA,0.1841,1,0.0073,NA,NA,NA,-0.1841,1,0.0073,NA,NA,NA
"46","ALPA","Pulsera","TargetVar","S_dur_day_LIG_bts_1_10_min",0.0058,0.4482,0.9333,NA,NA,NA,-0.0058,0.4482,0.9333,NA,NA,NA,0.0058,0.4482,0.9333,NA,NA,NA
"47","ALPA","Pulsera","TargetVar","S_dur_day_total_IN_min",0.1192,0.4676,0.0842,NA,NA,NA,-0.1192,0.4676,0.0842,NA,NA,NA,0.1192,0.4676,0.0842,NA,NA,NA
"48","ALPA","Pulsera","TargetVar","S_dur_day_total_LIG_min",0.0933,0.4482,0.1767,NA,NA,NA,-0.0933,0.4482,0.1767,NA,NA,NA,0.0933,0.4482,0.1767,NA,NA,NA
"49","ALPA","Pulsera","TargetVar","S_dur_day_total_MOD_min",0.4244,0.3536,0,NA,NA,NA,-0.4244,0.3536,0,NA,NA,NA,0.4244,0.3536,0,NA,NA,NA
"50","ALPA","Pulsera","TargetVar","S_dur_day_total_VIG_min",-0.2795,0.9202,0,NA,NA,NA,0.2795,0.9202,0,NA,NA,NA,-0.2795,0.9202,0,NA,NA,NA
"51","ALPA","Pulsera","TargetVar","S_dur_day_min",0.2021,0.4676,0.0032,NA,NA,NA,-0.2021,0.4676,0.0032,NA,NA,NA,0.2021,0.4676,0.0032,NA,NA,NA
"52","ALPA","Pulsera","TargetVar","S_dur_spt_min",0.1094,0.4676,0.113,NA,NA,NA,-0.1094,0.4676,0.113,NA,NA,NA,0.1094,0.4676,0.113,NA,NA,NA
"53","ALPA","Pulsera","TargetVar","S_dur_day_spt_min",0.2922,0.4482,0,NA,NA,NA,-0.2922,0.4482,0,NA,NA,NA,0.2922,0.4482,0,NA,NA,NA
"55","ALPA","Pulsera","TargetVar","S_sleep_efficiency",0.29,0.4676,0,NA,NA,NA,-0.29,0.4676,0,NA,NA,NA,0.29,0.4676,0,NA,NA,NA
"56","ALPA","Pulsera","TargetVar","S_ACC_spt_sleep_mg",-0.2081,0.4676,0.0024,NA,NA,NA,0.2081,0.4676,0.0024,NA,NA,NA,-0.2081,0.4676,0.0024,NA,NA,NA
"57","ALPA","Pulsera","TargetVar","S_ACC_spt_wake_IN_mg",-0.0397,0.4676,0.5666,NA,NA,NA,0.0397,0.4676,0.5666,NA,NA,NA,-0.0397,0.4676,0.5666,NA,NA,NA
"58","ALPA","Pulsera","TargetVar","S_ACC_spt_wake_LIG_mg",-0.2079,0.4676,0.0024,NA,NA,NA,0.2079,0.4676,0.0024,NA,NA,NA,-0.2079,0.4676,0.0024,NA,NA,NA
"59","ALPA","Pulsera","TargetVar","S_ACC_spt_wake_MOD_mg",-0.3124,0.4676,0,NA,NA,NA,0.3124,0.4676,0,NA,NA,NA,-0.3124,0.4676,0,NA,NA,NA
"60","ALPA","Pulsera","TargetVar","S_ACC_spt_wake_VIG_mg",-0.4433,0.4676,0,NA,NA,NA,0.4433,0.4676,0,NA,NA,NA,-0.4433,0.4676,0,NA,NA,NA
"61","ALPA","Pulsera","TargetVar","S_ACC_day_IN_unbt_mg",-0.1491,0.4676,0.0304,NA,NA,NA,0.1491,0.4676,0.0304,NA,NA,NA,-0.1491,0.4676,0.0304,NA,NA,NA
"62","ALPA","Pulsera","TargetVar","S_ACC_day_LIG_unbt_mg",0.4302,0.4676,0,NA,NA,NA,-0.4302,0.4676,0,NA,NA,NA,0.4302,0.4676,0,NA,NA,NA
"63","ALPA","Pulsera","TargetVar","S_ACC_day_MOD_unbt_mg",-0.3789,0.4676,0,NA,NA,NA,0.3789,0.4676,0,NA,NA,NA,-0.3789,0.4676,0,NA,NA,NA
"64","ALPA","Pulsera","TargetVar","S_ACC_day_VIG_unbt_mg",0.2383,0.4676,5e-04,NA,NA,NA,-0.2383,0.4676,5e-04,NA,NA,NA,0.2383,0.4676,5e-04,NA,NA,NA
"65","ALPA","Pulsera","TargetVar","S_ACC_day_MVPA_bts_1_mg",-0.1998,0.4676,0.0036,NA,NA,NA,0.1998,0.4676,0.0036,NA,NA,NA,-0.1998,0.4676,0.0036,NA,NA,NA
"66","ALPA","Pulsera","TargetVar","S_ACC_day_IN_bts_30_mg",-0.2353,0.4676,6e-04,NA,NA,NA,0.2353,0.4676,6e-04,NA,NA,NA,-0.2353,0.4676,6e-04,NA,NA,NA
"67","ALPA","Pulsera","TargetVar","S_ACC_day_IN_bts_10_30_mg",-0.1142,0.4676,0.0979,NA,NA,NA,0.1142,0.4676,0.0979,NA,NA,NA,-0.1142,0.4676,0.0979,NA,NA,NA
"68","ALPA","Pulsera","TargetVar","S_ACC_day_IN_bts_1_10_mg",-0.0409,0.4676,0.5545,NA,NA,NA,0.0409,0.4676,0.5545,NA,NA,NA,-0.0409,0.4676,0.5545,NA,NA,NA
"69","ALPA","Pulsera","TargetVar","S_ACC_day_LIG_bts_10_mg",0.0953,0.429,0.1677,NA,NA,NA,-0.0953,0.429,0.1677,NA,NA,NA,0.0953,0.429,0.1677,NA,NA,NA
"70","ALPA","Pulsera","TargetVar","S_ACC_day_LIG_bts_1_10_mg",0.2133,0.4676,0.0018,NA,NA,NA,-0.2133,0.4676,0.0018,NA,NA,NA,0.2133,0.4676,0.0018,NA,NA,NA
"71","ALPA","Pulsera","TargetVar","S_ACC_day_total_IN_mg",-0.193,0.4676,0.0049,NA,NA,NA,0.193,0.4676,0.0049,NA,NA,NA,-0.193,0.4676,0.0049,NA,NA,NA
"72","ALPA","Pulsera","TargetVar","S_ACC_day_total_LIG_mg",0.4741,0.4676,0,NA,NA,NA,-0.4741,0.4676,0,NA,NA,NA,0.4741,0.4676,0,NA,NA,NA
"73","ALPA","Pulsera","TargetVar","S_ACC_day_total_MOD_mg",-0.1837,0.4676,0.0075,NA,NA,NA,0.1837,0.4676,0.0075,NA,NA,NA,-0.1837,0.4676,0.0075,NA,NA,NA
"74","ALPA","Pulsera","TargetVar","S_ACC_day_total_VIG_mg",0.0314,0.4676,0.6507,NA,NA,NA,-0.0314,0.4676,0.6507,NA,NA,NA,0.0314,0.4676,0.6507,NA,NA,NA
"75","ALPA","Pulsera","TargetVar","S_ACC_day_mg",0.1782,0.4676,0.0095,NA,NA,NA,-0.1782,0.4676,0.0095,NA,NA,NA,0.1782,0.4676,0.0095,NA,NA,NA
"76","ALPA","Pulsera","TargetVar","S_ACC_spt_mg",-0.2597,0.4676,1e-04,NA,NA,NA,0.2597,0.4676,1e-04,NA,NA,NA,-0.2597,0.4676,1e-04,NA,NA,NA
"77","ALPA","Pulsera","TargetVar","S_ACC_day_spt_mg",0.1556,0.4676,0.0238,NA,NA,NA,-0.1556,0.4676,0.0238,NA,NA,NA,0.1556,0.4676,0.0238,NA,NA,NA
"78","ALPA","Pulsera","TargetVar","S_quantile_mostactive60min_mg",0.3518,0.4676,0,NA,NA,NA,-0.3518,0.4676,0,NA,NA,NA,0.3518,0.4676,0,NA,NA,NA
"79","ALPA","Pulsera","TargetVar","S_quantile_mostactive30min_mg",0.2879,0.4676,0,NA,NA,NA,-0.2879,0.4676,0,NA,NA,NA,0.2879,0.4676,0,NA,NA,NA
"80","ALPA","Pulsera","TargetVar","S_L5VALUE",-0.3688,0.4676,0,NA,NA,NA,0.3688,0.4676,0,NA,NA,NA,-0.3688,0.4676,0,NA,NA,NA
"81","ALPA","Pulsera","TargetVar","S_M5VALUE",0.4308,0.4676,0,NA,NA,NA,-0.4308,0.4676,0,NA,NA,NA,0.4308,0.4676,0,NA,NA,NA
"82","ALPA","Pulsera","TargetVar","S_L5TIME_num",0.204,0.4676,0.0029,NA,NA,NA,-0.204,0.4676,0.0029,NA,NA,NA,0.204,0.4676,0.0029,NA,NA,NA
"83","ALPA","Pulsera","TargetVar","S_M5TIME_num",-0.1297,0.4676,0.0601,NA,NA,NA,0.1297,0.4676,0.0601,NA,NA,NA,-0.1297,0.4676,0.0601,NA,NA,NA
"84","ALPA","Pulsera","TargetVar","S_L10VALUE",-0.2968,0.4676,0,NA,NA,NA,0.2968,0.4676,0,NA,NA,NA,-0.2968,0.4676,0,NA,NA,NA
"85","ALPA","Pulsera","TargetVar","S_M10VALUE",0.2637,0.4676,1e-04,NA,NA,NA,-0.2637,0.4676,1e-04,NA,NA,NA,0.2637,0.4676,1e-04,NA,NA,NA
"86","ALPA","Pulsera","TargetVar","S_L10TIME_num",0.4152,0.4676,0,NA,NA,NA,-0.4152,0.4676,0,NA,NA,NA,0.4152,0.4676,0,NA,NA,NA
"87","ALPA","Pulsera","TargetVar","S_M10TIME_num",-0.297,0.4482,0,NA,NA,NA,0.297,0.4482,0,NA,NA,NA,-0.297,0.4482,0,NA,NA,NA
"91","ALPA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_1_10",0.0191,0.0511,0.7826,NA,NA,NA,-0.0191,0.0511,0.7826,NA,NA,NA,0.0191,0.0511,0.7826,NA,NA,NA
"92","ALPA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_10",-0.1882,0.9994,0.0061,NA,NA,NA,0.1882,0.9994,0.0061,NA,NA,NA,-0.1882,0.9994,0.0061,NA,NA,NA
"93","ALPA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_1_10",0.1111,0.0328,0.1075,NA,NA,NA,-0.1111,0.0328,0.1075,NA,NA,NA,0.1111,0.0328,0.1075,NA,NA,NA
"95","ALPA","Pulsera","TargetVar","S_Nblocks_spt_wake_IN",-0.1861,0.2349,0.0067,NA,NA,NA,0.1861,0.2349,0.0067,NA,NA,NA,-0.1861,0.2349,0.0067,NA,NA,NA
"96","ALPA","Pulsera","TargetVar","S_Nblocks_spt_wake_LIG",-0.1905,0.2349,0.0055,NA,NA,NA,0.1905,0.2349,0.0055,NA,NA,NA,-0.1905,0.2349,0.0055,NA,NA,NA
"97","ALPA","Pulsera","TargetVar","S_Nblocks_spt_wake_MOD",-0.1828,0.1414,0.0078,NA,NA,NA,0.1828,0.1414,0.0078,NA,NA,NA,-0.1828,0.1414,0.0078,NA,NA,NA
"99","ALPA","Pulsera","TargetVar","S_Nblocks_day_IN_unbt",-0.0451,0.2832,0.515,NA,NA,NA,0.0451,0.2832,0.515,NA,NA,NA,-0.0451,0.2832,0.515,NA,NA,NA
"100","ALPA","Pulsera","TargetVar","S_Nblocks_day_LIG_unbt",0.14,0.3721,0.0422,NA,NA,NA,-0.14,0.3721,0.0422,NA,NA,NA,0.14,0.3721,0.0422,NA,NA,NA
"101","ALPA","Pulsera","TargetVar","S_Nblocks_day_MOD_unbt",0.2575,0.3684,2e-04,NA,NA,NA,-0.2575,0.3684,2e-04,NA,NA,NA,0.2575,0.3684,2e-04,NA,NA,NA
"102","ALPA","Pulsera","TargetVar","S_Nblocks_day_VIG_unbt",-0.3695,0.3517,0,NA,NA,NA,0.3695,0.3517,0,NA,NA,NA,-0.3695,0.3517,0,NA,NA,NA
"106","ALPA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_1_10",3e-04,0.0328,0.9965,NA,NA,NA,-3e-04,0.0328,0.9965,NA,NA,NA,3e-04,0.0328,0.9965,NA,NA,NA
"107","ALPA","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_10",-0.1882,0.9994,0.0061,NA,NA,NA,0.1882,0.9994,0.0061,NA,NA,NA,-0.1882,0.9994,0.0061,NA,NA,NA
"108","ALPA","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_1_10",0.1111,0.0328,0.1075,NA,NA,NA,-0.1111,0.0328,0.1075,NA,NA,NA,0.1111,0.0328,0.1075,NA,NA,NA
"109","ALPA","Pulsera","TargetVar","S_Nblocks_day_total_IN",-0.0696,0.3908,0.3145,NA,NA,NA,0.0696,0.3908,0.3145,NA,NA,NA,-0.0696,0.3908,0.3145,NA,NA,NA
"110","ALPA","Pulsera","TargetVar","S_Nblocks_day_total_LIG",0.1136,0.3908,0.0999,NA,NA,NA,-0.1136,0.3908,0.0999,NA,NA,NA,0.1136,0.3908,0.0999,NA,NA,NA
"111","ALPA","Pulsera","TargetVar","S_Nblocks_day_total_MOD",0.298,0.3002,0,NA,NA,NA,-0.298,0.3002,0,NA,NA,NA,0.298,0.3002,0,NA,NA,NA
"118","ALPA","Intervenciones","TargetVar","I_alleviation",-1,0.4017,0,NA,NA,NA,1,0.4017,0,NA,NA,NA,-1,0.4017,0,NA,NA,NA
"119","ALPA","Intervenciones","TargetVar","I_therapist",0.2582,1,0.5761,NA,NA,NA,-0.2582,1,0.5761,NA,NA,NA,0.2582,1,0.5761,NA,NA,NA
"121","ALPA","Intervenciones","TargetVar","I_diagnosis",0.9102,0.0302,0.0044,NA,NA,NA,-0.9102,0.0302,0.0044,NA,NA,NA,0.9102,0.0302,0.0044,NA,NA,NA
"122","ALPA","Intervenciones","TargetVar","I_intervencion_type",0.4714,0.8761,0.2856,NA,NA,NA,-0.4714,0.8761,0.2856,NA,NA,NA,0.4714,0.8761,0.2856,NA,NA,NA
"124","ALPA","Young","TargetVar","Y_euphoria",0.6325,0.6985,0.1778,NA,NA,NA,-0.6325,0.6985,0.1778,NA,NA,NA,0.6325,0.6985,0.1778,NA,NA,NA
"125","ALPA","Young","TargetVar","Y_hyperactivity",0.6325,0.6985,0.1778,NA,NA,NA,-0.6325,0.6985,0.1778,NA,NA,NA,0.6325,0.6985,0.1778,NA,NA,NA
"126","ALPA","Young","TargetVar","Y_sex_drive",-0.5,0.7595,0.3125,NA,NA,NA,0.5,0.7595,0.3125,NA,NA,NA,-0.5,0.7595,0.3125,NA,NA,NA
"128","ALPA","Young","TargetVar","Y_irritability",0.1313,0.6873,0.8042,NA,NA,NA,-0.1313,0.6873,0.8042,NA,NA,NA,0.1313,0.6873,0.8042,NA,NA,NA
"129","ALPA","Young","TargetVar","Y_verbal_expression",0.6325,0.6985,0.1778,NA,NA,NA,-0.6325,0.6985,0.1778,NA,NA,NA,0.6325,0.6985,0.1778,NA,NA,NA
"130","ALPA","Young","TargetVar","Y_thought_disorder",-0.25,1,0.6328,NA,NA,NA,0.25,1,0.6328,NA,NA,NA,-0.25,1,0.6328,NA,NA,NA
"131","ALPA","Young","TargetVar","Y_content",0.6325,0.6985,0.1778,NA,NA,NA,-0.6325,0.6985,0.1778,NA,NA,NA,0.6325,0.6985,0.1778,NA,NA,NA
"133","ALPA","Young","TargetVar","Y_appearance",0.25,1,0.6328,NA,NA,NA,-0.25,1,0.6328,NA,NA,NA,0.25,1,0.6328,NA,NA,NA
"139","ALPA","HRSD","TargetVar","H_mid_insonmia",-0.3162,1,0.5415,NA,NA,NA,0.3162,1,0.5415,NA,NA,NA,-0.3162,1,0.5415,NA,NA,NA
"140","ALPA","HRSD","TargetVar","H_late_insonmia",-0.3162,1,0.5415,NA,NA,NA,0.3162,1,0.5415,NA,NA,NA,-0.3162,1,0.5415,NA,NA,NA
"141","ALPA","HRSD","TargetVar","H_activity",0.25,1,0.6328,NA,NA,NA,-0.25,1,0.6328,NA,NA,NA,0.25,1,0.6328,NA,NA,NA
"144","ALPA","HRSD","TargetVar","H_psychic_anxiety",0.6325,0.6985,0.1778,NA,NA,NA,-0.6325,0.6985,0.1778,NA,NA,NA,0.6325,0.6985,0.1778,NA,NA,NA
"145","ALPA","HRSD","TargetVar","H_somatic_anxiety",-0.1581,0.6873,0.7648,NA,NA,NA,0.1581,0.6873,0.7648,NA,NA,NA,-0.1581,0.6873,0.7648,NA,NA,NA
"152","ALPA","HRSD","TargetVar","H_hrsd",0.1715,0.1534,0.7453,NA,NA,NA,-0.1715,0.1534,0.7453,NA,NA,NA,0.1715,0.1534,0.7453,NA,NA,NA
"153","ALPA","Young","TargetVar","Y_young",0.4006,0.1991,0.4312,NA,NA,NA,-0.4006,0.1991,0.4312,NA,NA,NA,0.4006,0.1991,0.4312,NA,NA,NA
"272","BEPR","Intervenciones","TargetVar","I_therapist",-0.3536,0.5403,0.2596,NA,NA,NA,0.3536,0.5403,0.2596,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","BEPR","Intervenciones","TargetVar","I_intervencion_type",-0.3162,0.7842,0.3166,NA,NA,NA,0.3162,0.7842,0.3166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","BEPR","Young","TargetVar","Y_verbal_expression",-0.2,1,0.704,NA,NA,NA,0.2,1,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","BEPR","HRSD","TargetVar","H_activity",-0.2,1,0.704,NA,NA,NA,0.2,1,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","BEPR","HRSD","TargetVar","H_hrsd",-0.2,1,0.704,NA,NA,NA,0.2,1,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","BEPR","Young","TargetVar","Y_young",-0.2,1,0.704,NA,NA,NA,0.2,1,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","CASGA","Diario","TargetVar","D_animus",-0.2078,0,0.0022,-0.1297,0.2172,0.0575,0.2618,1e-04,1e-04,0.1208,0.0046,0.0772,-0.275,0,0,NA,NA,NA
"308","CASGA","Diario","TargetVar","D_anxiety",0.3278,0,0,0.0516,0.5931,0.452,-0.4569,0,0,0.1285,0.0081,0.06,0.2665,0.0011,1e-04,NA,NA,NA
"309","CASGA","Diario","TargetVar","D_irritability",0.4223,0,0,-0.1222,0.4883,0.0737,-0.3684,0,0,-0.0044,0.0265,0.9484,0.3755,0,0,NA,NA,NA
"310","CASGA","Diario","TargetVar","D_concentration",0.1004,0.1508,0.1422,-0.0691,0.584,0.3131,0.0249,0.6759,0.7163,-0.1723,0.0354,0.0114,0.1533,0.0791,0.0246,NA,NA,NA
"312","CASGA","Diario","TargetVar","D_caffeine",0.3937,0,0,-0.1387,0,0.0422,-0.2971,6e-04,0,-0.0624,0.7682,0.3628,0.3695,0.0013,0,NA,NA,NA
"313","CASGA","Diario","TargetVar","D_sleep_time",0.2267,0.0718,8e-04,-0.0826,0.4835,0.2276,-0.0943,0.259,0.1682,-0.1894,0.0882,0.0053,0.2771,0.0277,0,NA,NA,NA
"314","CASGA","Diario","TargetVar","D_wakeup_time",-0.0339,0.0092,0.6212,0.0734,0.0014,0.2838,-0.0253,0.2753,0.7118,0.0179,0.5234,0.7936,-0.0242,0.0945,0.7247,NA,NA,NA
"315","CASGA","Diario","TargetVar","D_motivation",-0.1445,0,0.0343,-0.2683,0,1e-04,0.4169,0,0,-0.132,0.1828,0.0533,-0.1374,0.001,0.0442,NA,NA,NA
"316","CASGA","Diario","TargetVar","D_sleep_quality",0.1483,0.4583,0.0298,-0.0495,0.7537,0.4702,-0.1298,0.1431,0.0574,0.0093,0.7546,0.8927,0.1259,0.1813,0.0655,NA,NA,NA
"317","CASGA","Diario","TargetVar","D_slowness_fill_form",0.012,0.6165,0.8609,-0.1528,0.6457,0.0251,0.2172,0.8262,0.0014,-0.2444,0.2189,3e-04,0.0826,0.5158,0.228,NA,NA,NA
"318","CASGA","Diario","TargetVar","D_sleep_duration",0.0172,0.0274,0.8015,0.1666,3e-04,0.0144,-0.2339,0.5796,5e-04,0.1924,0.6345,0.0046,-0.0299,0.4315,0.6624,NA,NA,NA
"319","CASGA","Diario","TargetVar","D_sleep_zenith",-0.0559,0.008,0.4147,-0.0157,0.0015,0.8194,0.1237,0.0662,0.0703,-0.1056,0.6474,0.1226,-0.0115,0.2491,0.867,NA,NA,NA
"322","CASGA","Diario","TargetVar","D_observation_string_length",-0.2666,0.0111,1e-04,-0.1937,0.9941,0.0044,0.5741,9e-04,0,-0.2932,0.029,0,-0.1689,3e-04,0.0131,NA,NA,NA
"323","CASGA","Diario","TargetVar","D_time_start_form",0.4139,0.6648,0,-0.1126,0.9195,0.0997,-0.4641,0.4716,0,0.1962,0.2388,0.0039,0.2847,0.5017,0,NA,NA,NA
"324","CASGA","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.0194,0.6165,0.777,-0.1644,0.6457,0.0158,0.2656,0.8262,1e-04,-0.2559,0.2189,1e-04,0.0553,0.5158,0.4202,NA,NA,NA
"325","CASGA","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.0194,0.6473,0.777,-0.1644,0.6834,0.0158,0.2656,0.8517,1e-04,-0.2559,0.2087,1e-04,0.0553,0.5156,0.4202,NA,NA,NA
"326","CASGA","Pulsera","TargetVar","S_week",0.2395,0,4e-04,0.3639,0,0,-0.7511,0,0,0.4626,0,0,0.1075,0,0.116,NA,NA,NA
"327","CASGA","Pulsera","TargetVar","S_window_number",0.5711,0.1556,0,NA,NA,NA,NA,NA,NA,-0.5711,0.1556,0,0.5711,0.1556,0,NA,NA,NA
"328","CASGA","Pulsera","TargetVar","S_sleeponset",-0.1237,0.4923,0.2251,NA,NA,NA,NA,NA,NA,0.1237,0.4923,0.2251,-0.1237,0.4923,0.2251,NA,NA,NA
"329","CASGA","Pulsera","TargetVar","S_wakeup",0.1347,0.4346,0.1859,NA,NA,NA,NA,NA,NA,-0.1347,0.4346,0.1859,0.1347,0.4346,0.1859,NA,NA,NA
"330","CASGA","Pulsera","TargetVar","S_night_number",-0.6676,0.1455,0,NA,NA,NA,NA,NA,NA,0.6676,0.1455,0,-0.6676,0.1455,0,NA,NA,NA
"331","CASGA","Pulsera","TargetVar","S_daysleeper",-0.003,1,0.9765,NA,NA,NA,NA,NA,NA,0.003,1,0.9765,-0.003,1,0.9765,NA,NA,NA
"335","CASGA","Pulsera","TargetVar","S_nonwear_perc_day",-0.1885,0.4034,0.0631,NA,NA,NA,NA,NA,NA,0.1885,0.4034,0.0631,-0.1885,0.4034,0.0631,NA,NA,NA
"336","CASGA","Pulsera","TargetVar","S_nonwear_perc_spt",-0.1487,0.4558,0.144,NA,NA,NA,NA,NA,NA,0.1487,0.4558,0.144,-0.1487,0.4558,0.144,NA,NA,NA
"337","CASGA","Pulsera","TargetVar","S_nonwear_perc_day_spt",-0.1897,0.4558,0.0614,NA,NA,NA,NA,NA,NA,0.1897,0.4558,0.0614,-0.1897,0.4558,0.0614,NA,NA,NA
"338","CASGA","Pulsera","TargetVar","S_dur_spt_sleep_min",0.6187,0.4241,0,NA,NA,NA,NA,NA,NA,-0.6187,0.4241,0,0.6187,0.4241,0,NA,NA,NA
