"","id","origen.x","origen.y","var.x","Z_dx_numeric_cor","Z_dx_numeric_chi","Z_dx_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"16","PRFE","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.3608,0.3836,0.0012,0.3608,0.3836,0.0012,NA,NA,NA,NA,NA,NA,-0.3608,0.3836,0.0012,NA,NA,NA
"17","PRFE","Diario","TargetVar","D_time_start_form",-0.2342,0.4979,0.039,0.2342,0.4979,0.039,NA,NA,NA,NA,NA,NA,-0.2342,0.4979,0.039,NA,NA,NA
"18","PRFE","Diario","TargetVar","D_tobacco",-0.1094,0.1547,0.3404,0.1094,0.1547,0.3404,NA,NA,NA,NA,NA,NA,-0.1094,0.1547,0.3404,NA,NA,NA
"19","PRFE","Diario","TargetVar","D_wakeup_time",0.1236,0.8778,0.2811,-0.1236,0.8778,0.2811,NA,NA,NA,NA,NA,NA,0.1236,0.8778,0.2811,NA,NA,NA
"21","PRFE","Pulsera","TargetVar","S_ACC_day_IN_bts_1_10_mg",-0.0632,0.4564,0.4441,0.022,0.4615,0.79,0.0343,0.4615,0.6782,NA,NA,NA,-0.0749,0.4615,0.3642,NA,NA,NA
"22","PRFE","Pulsera","TargetVar","S_ACC_day_IN_bts_10_30_mg",-2e-04,0.4564,0.9981,-0.1221,0.4615,0.138,0.1896,0.4615,0.0206,NA,NA,NA,-0.0832,0.4615,0.3133,NA,NA,NA
"23","PRFE","Pulsera","TargetVar","S_ACC_day_IN_bts_30_mg",-0.4327,0.4564,0,0.2033,0.4615,0.0129,0.1531,0.4615,0.0623,NA,NA,NA,-0.477,0.4615,0,NA,NA,NA
"24","PRFE","Pulsera","TargetVar","S_ACC_day_IN_unbt_mg",-0.193,0.4564,0.0184,0.4351,0.4615,0,-0.466,0.4615,0,NA,NA,NA,0.021,0.4615,0.7994,NA,NA,NA
"25","PRFE","Pulsera","TargetVar","S_ACC_day_LIG_bts_1_10_mg",0.2699,0.4564,9e-04,-0.4529,0.4615,0,0.4103,0.4615,0,NA,NA,NA,0.0763,0.4615,0.3553,NA,NA,NA
"26","PRFE","Pulsera","TargetVar","S_ACC_day_LIG_bts_10_mg",0.424,0.392,0,-0.2186,0.4155,0.0074,-0.12,0.4155,0.1451,NA,NA,NA,0.4543,0.4155,0,NA,NA,NA
"27","PRFE","Pulsera","TargetVar","S_ACC_day_LIG_unbt_mg",0.1187,0.4564,0.1493,-0.1595,0.4615,0.0521,0.1188,0.4615,0.149,NA,NA,NA,0.0605,0.4615,0.4634,NA,NA,NA
"28","PRFE","Pulsera","TargetVar","S_ACC_day_mg",0.0463,0.4564,0.575,0.1206,0.4615,0.1428,-0.2373,0.4615,0.0036,NA,NA,NA,0.1477,0.4615,0.0722,NA,NA,NA
"29","PRFE","Pulsera","TargetVar","S_ACC_day_MOD_unbt_mg",0.0394,0.4564,0.6336,-0.0697,0.4615,0.3986,0.0654,0.4615,0.4279,NA,NA,NA,0.0087,0.4615,0.9164,NA,NA,NA
"30","PRFE","Pulsera","TargetVar","S_ACC_day_MVPA_bts_1_mg",0.1075,0.4564,0.1918,-0.16,0.4615,0.0512,0.1318,0.4615,0.1091,NA,NA,NA,0.0442,0.4615,0.5923,NA,NA,NA
"31","PRFE","Pulsera","TargetVar","S_ACC_day_spt_mg",-0.1258,0.4564,0.1263,0.2346,0.4615,0.004,-0.2277,0.4615,0.0052,NA,NA,NA,-0.0196,0.4615,0.8127,NA,NA,NA
"32","PRFE","Pulsera","TargetVar","S_ACC_day_total_IN_mg",-0.232,0.4564,0.0044,0.1939,0.4615,0.0178,-0.0496,0.4615,0.5478,NA,NA,NA,-0.1981,0.4615,0.0154,NA,NA,NA
"33","PRFE","Pulsera","TargetVar","S_ACC_day_total_LIG_mg",0.2965,0.4564,2e-04,-0.3072,0.4615,1e-04,0.1555,0.4615,0.0582,NA,NA,NA,0.2129,0.4615,0.0091,NA,NA,NA
"34","PRFE","Pulsera","TargetVar","S_ACC_day_total_MOD_mg",0.0229,0.4564,0.7814,-0.022,0.4615,0.7899,0.0093,0.4615,0.9102,NA,NA,NA,0.0176,0.4615,0.8309,NA,NA,NA
"35","PRFE","Pulsera","TargetVar","S_ACC_day_total_VIG_mg",0.158,0.4564,0.0543,0.0753,0.4615,0.3613,-0.2879,0.4615,4e-04,NA,NA,NA,0.2758,0.4615,7e-04,NA,NA,NA
"36","PRFE","Pulsera","TargetVar","S_ACC_day_VIG_unbt_mg",-0.3065,0.4564,1e-04,0.3521,0.4615,0,-0.2143,0.4615,0.0087,NA,NA,NA,-0.1967,0.4615,0.0162,NA,NA,NA
"37","PRFE","Pulsera","TargetVar","S_ACC_spt_mg",-0.1644,0.4564,0.0451,0.1211,0.4615,0.1411,-0.0099,0.4615,0.9045,NA,NA,NA,-0.1515,0.4615,0.0652,NA,NA,NA
"38","PRFE","Pulsera","TargetVar","S_ACC_spt_sleep_mg",-0.0832,0.4564,0.3131,0.0788,0.4615,0.3395,-0.0321,0.4615,0.6971,NA,NA,NA,-0.0648,0.4615,0.4325,NA,NA,NA
"39","PRFE","Pulsera","TargetVar","S_ACC_spt_wake_IN_mg",-0.179,0.4564,0.029,0.1474,0.4615,0.0729,-0.0348,0.4615,0.6733,NA,NA,NA,-0.1544,0.4615,0.0601,NA,NA,NA
"40","PRFE","Pulsera","TargetVar","S_ACC_spt_wake_LIG_mg",-0.1696,0.4564,0.0387,0.0697,0.4615,0.3984,0.0755,0.4615,0.3599,NA,NA,NA,-0.1938,0.4615,0.0179,NA,NA,NA
"41","PRFE","Pulsera","TargetVar","S_ACC_spt_wake_MOD_mg",0.175,0.4564,0.0328,-0.0844,0.4615,0.3064,-0.0587,0.4615,0.4772,NA,NA,NA,0.1916,0.4615,0.0193,NA,NA,NA
"42","PRFE","Pulsera","TargetVar","S_ACC_spt_wake_VIG_mg",0.2527,0.4564,0.0019,-0.3633,0.4615,0,0.2899,0.4615,3e-04,NA,NA,NA,0.1126,0.4615,0.1714,NA,NA,NA
"48","PRFE","Pulsera","TargetVar","S_cleaningcode",-0.0393,0.8088,0.634,0.0071,1,0.9319,0.0316,1,0.7017,NA,NA,NA,-0.0511,1,0.5359,NA,NA,NA
"49","PRFE","Pulsera","TargetVar","S_daysleeper",-0.2455,0,0.0025,0.2131,0.3947,0.0091,-0.0647,0.8161,0.4333,NA,NA,NA,-0.2044,0,0.0124,NA,NA,NA
"50","PRFE","Pulsera","TargetVar","S_dur_day_IN_bts_1_10_min",0.0564,0.4564,0.4948,-0.0538,0.4615,0.5145,0.0224,0.4615,0.7858,NA,NA,NA,0.0436,0.4615,0.5976,NA,NA,NA
"51","PRFE","Pulsera","TargetVar","S_dur_day_IN_bts_10_30_min",-0.026,0.4503,0.7528,-0.0909,0.5323,0.2702,0.1692,0.5456,0.0391,NA,NA,NA,-0.0987,0.3485,0.2312,NA,NA,NA
"52","PRFE","Pulsera","TargetVar","S_dur_day_IN_bts_30_min",0.066,0.3474,0.4242,-0.2806,0.4377,5e-04,0.3638,0.4474,0,NA,NA,NA,-0.0967,0.306,0.2407,NA,NA,NA
"53","PRFE","Pulsera","TargetVar","S_dur_day_IN_unbt_min",-0.1389,0.4502,0.091,0.1712,0.5004,0.0368,-0.1152,0.5081,0.162,NA,NA,NA,-0.0813,0.3929,0.3244,NA,NA,NA
"54","PRFE","Pulsera","TargetVar","S_dur_day_LIG_bts_1_10_min",-0.0226,0.4636,0.7841,0.2269,0.4155,0.0054,-0.3274,0.4646,0,NA,NA,NA,0.1218,0.5008,0.1388,NA,NA,NA
"55","PRFE","Pulsera","TargetVar","S_dur_day_LIG_bts_10_min",-0.3526,0.0375,0,0.4725,0.0931,0,-0.3511,0.2477,0,NA,NA,NA,-0.1805,0.0456,0.0276,NA,NA,NA
"56","PRFE","Pulsera","TargetVar","S_dur_day_LIG_unbt_min",-0.123,0.4699,0.1349,0.1797,0.5082,0.0283,-0.1456,0.5147,0.0765,NA,NA,NA,-0.0529,0.4155,0.5216,NA,NA,NA
"57","PRFE","Pulsera","TargetVar","S_dur_day_min",-0.0272,0.4564,0.7418,-0.0948,0.4615,0.2502,0.1765,0.4615,0.0313,NA,NA,NA,-0.103,0.4615,0.2111,NA,NA,NA
"58","PRFE","Pulsera","TargetVar","S_dur_day_MOD_unbt_min",0.0221,0.4046,0.7887,0.0092,0.4613,0.9118,-0.0382,0.4678,0.6439,NA,NA,NA,0.0377,0.3705,0.6482,NA,NA,NA
"59","PRFE","Pulsera","TargetVar","S_dur_day_MVPA_bts_1_min",0.0724,0.4594,0.3801,-0.028,0.5245,0.7348,-0.035,0.4879,0.6716,NA,NA,NA,0.084,0.4076,0.3087,NA,NA,NA
"60","PRFE","Pulsera","TargetVar","S_dur_day_spt_min",0.0316,0.4564,0.7016,-0.1931,0.4615,0.0183,0.2652,0.4615,0.0011,NA,NA,NA,-0.0861,0.4615,0.2966,NA,NA,NA
"61","PRFE","Pulsera","TargetVar","S_dur_day_total_IN_min",0.0326,0.4564,0.6927,-0.2625,0.4615,0.0012,0.372,0.4615,0,NA,NA,NA,-0.1318,0.4615,0.109,NA,NA,NA
"62","PRFE","Pulsera","TargetVar","S_dur_day_total_LIG_min",-0.1489,0.4699,0.0699,0.2463,0.5082,0.0025,-0.2208,0.5147,0.0068,NA,NA,NA,-0.0445,0.4155,0.59,NA,NA,NA
"63","PRFE","Pulsera","TargetVar","S_dur_day_total_MOD_min",0.0522,0.424,0.5273,0.0021,0.4384,0.9796,-0.0598,0.4384,0.4688,NA,NA,NA,0.0756,0.4384,0.3593,NA,NA,NA
"64","PRFE","Pulsera","TargetVar","S_dur_day_total_VIG_min",0.0961,0.5235,0.2436,-0.1906,0.4043,0.0199,0.1916,0.4395,0.0193,NA,NA,NA,0.0073,0.6233,0.9298,NA,NA,NA
"65","PRFE","Pulsera","TargetVar","S_dur_day_VIG_unbt_min",0.1019,0.0813,0.2163,-0.2213,0.1556,0.0067,0.233,0.3713,0.0042,NA,NA,NA,-0.0054,0.0669,0.9479,NA,NA,NA
"66","PRFE","Pulsera","TargetVar","S_dur_spt_min",0.1013,0.5056,0.2191,-0.1832,0.5319,0.0253,0.1745,0.4913,0.0333,NA,NA,NA,0.0196,0.4774,0.8123,NA,NA,NA
"67","PRFE","Pulsera","TargetVar","S_dur_spt_sleep_min",0.2731,0.424,8e-04,-0.2238,0.4384,0.0061,0.0514,0.4384,0.5335,NA,NA,NA,0.2363,0.4384,0.0037,NA,NA,NA
"68","PRFE","Pulsera","TargetVar","S_dur_spt_wake_IN_min",-0.1387,0.4309,0.0916,-0.0325,0.3929,0.6938,0.2007,0.4414,0.0141,NA,NA,NA,-0.2193,0.4774,0.0072,NA,NA,NA
"69","PRFE","Pulsera","TargetVar","S_dur_spt_wake_LIG_min",-0.1059,0.4918,0.1988,0.0646,0.4847,0.4341,0.0145,0.4384,0.8608,NA,NA,NA,-0.1067,0.5242,0.1954,NA,NA,NA
"70","PRFE","Pulsera","TargetVar","S_dur_spt_wake_MOD_min",-0.1187,0.3334,0.1494,0.0799,0.3741,0.333,0.0047,0.495,0.955,NA,NA,NA,-0.1145,0.2888,0.1643,NA,NA,NA
"71","PRFE","Pulsera","TargetVar","S_dur_spt_wake_VIG_min",-0.1054,0.0871,0.2008,-0.0245,0.158,0.7668,0.1521,0.5141,0.064,NA,NA,NA,-0.1664,0.0462,0.0425,NA,NA,NA
"72","PRFE","Pulsera","TargetVar","S_L10TIME_num",0.1496,0.4262,0.0687,-0.1184,0.4382,0.1505,0.0217,0.3929,0.7929,NA,NA,NA,0.1322,0.4774,0.1079,NA,NA,NA
"73","PRFE","Pulsera","TargetVar","S_L10VALUE",-0.2454,0.4564,0.0026,0.2639,0.4615,0.0011,-0.1437,0.4615,0.0804,NA,NA,NA,-0.1697,0.4615,0.0386,NA,NA,NA
"74","PRFE","Pulsera","TargetVar","S_L5TIME_num",0.0534,0.3982,0.5178,-0.023,0.4382,0.7805,-0.0221,0.4414,0.789,NA,NA,NA,0.0603,0.3929,0.4653,NA,NA,NA
"75","PRFE","Pulsera","TargetVar","S_L5VALUE",-0.0196,0.4564,0.8124,-0.0091,0.4615,0.9126,0.0353,0.4615,0.6691,NA,NA,NA,-0.034,0.4615,0.6804,NA,NA,NA
"76","PRFE","Pulsera","TargetVar","S_M10TIME_num",-0.05,0.4918,0.5448,-0.1402,0.4847,0.0881,0.2716,0.4384,8e-04,NA,NA,NA,-0.1663,0.5242,0.0427,NA,NA,NA
"77","PRFE","Pulsera","TargetVar","S_M10VALUE",0.1087,0.4564,0.187,0.0377,0.4615,0.6482,-0.1762,0.4615,0.0316,NA,NA,NA,0.1801,0.4615,0.028,NA,NA,NA
"78","PRFE","Pulsera","TargetVar","S_M5TIME_num",-0.0104,0.4564,0.9003,-0.0512,0.4615,0.5348,0.0907,0.4615,0.2712,NA,NA,NA,-0.0495,0.4615,0.5488,NA,NA,NA
"79","PRFE","Pulsera","TargetVar","S_M5VALUE",0.1857,0.4564,0.0234,-0.0818,0.4615,0.3216,-0.0743,0.4615,0.368,NA,NA,NA,0.2085,0.4615,0.0107,NA,NA,NA
"80","PRFE","Pulsera","TargetVar","S_N_atleast5minwakenight",-0.0257,0.1463,0.7559,-0.0899,0.2306,0.2754,0.1673,0.6645,0.0414,NA,NA,NA,-0.0976,0.0548,0.2366,NA,NA,NA
"81","PRFE","Pulsera","TargetVar","S_Nblocks_day_IN_bts_1_10",0.0291,0.4221,0.7244,0.0263,0.2398,0.7506,-0.0723,0.3243,0.3811,NA,NA,NA,0.0592,0.6668,0.4731,NA,NA,NA
"82","PRFE","Pulsera","TargetVar","S_Nblocks_day_IN_bts_10_30",0.0855,0.0883,0.2999,-0.1504,0.1759,0.0671,0.1408,0.6191,0.0868,NA,NA,NA,0.0194,0.0304,0.8142,NA,NA,NA
"83","PRFE","Pulsera","TargetVar","S_Nblocks_day_IN_bts_30",0.0249,0.0664,0.7629,-0.3215,0.2288,1e-04,0.4718,0.3809,0,NA,NA,NA,-0.1828,0.0326,0.0256,NA,NA,NA
"84","PRFE","Pulsera","TargetVar","S_Nblocks_day_IN_unbt",-0.1766,0.6718,0.0312,0.189,0.4374,0.021,-0.102,0.5533,0.2159,NA,NA,NA,-0.1228,0.7624,0.1358,NA,NA,NA
"85","PRFE","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_1_10",-0.0336,0.256,0.6845,0.2029,0.3735,0.0131,-0.2784,0.488,6e-04,NA,NA,NA,0.09,0.1798,0.275,NA,NA,NA
"86","PRFE","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_10",-0.3408,0.0375,0,0.4644,0.0687,0,-0.3514,0.2214,0,NA,NA,NA,-0.1692,0.0619,0.0391,NA,NA,NA
"87","PRFE","Pulsera","TargetVar","S_Nblocks_day_LIG_unbt",-0.1114,0.4305,0.1762,0.1488,0.4614,0.0701,-0.1103,0.4646,0.1807,NA,NA,NA,-0.0573,0.4155,0.4875,NA,NA,NA
"88","PRFE","Pulsera","TargetVar","S_Nblocks_day_MOD_unbt",-0.0278,0.5016,0.7364,0.042,0.461,0.6108,-0.0351,0.5294,0.6709,NA,NA,NA,-0.011,0.4864,0.8942,NA,NA,NA
"89","PRFE","Pulsera","TargetVar","S_Nblocks_day_MVPA_bts_1",0.129,0.9609,0.117,-0.0193,0.5938,0.8156,-0.1098,0.786,0.1826,NA,NA,NA,0.1703,0.9885,0.0379,NA,NA,NA
"90","PRFE","Pulsera","TargetVar","S_Nblocks_day_total_IN",-0.1929,0.437,0.0184,0.153,0.4847,0.0625,-0.0284,0.4913,0.7307,NA,NA,NA,-0.1704,0.3929,0.0377,NA,NA,NA
"91","PRFE","Pulsera","TargetVar","S_Nblocks_day_total_LIG",-0.1218,0.4049,0.1389,0.1415,0.3923,0.0852,-0.0876,0.4444,0.2881,NA,NA,NA,-0.0771,0.4307,0.3499,NA,NA,NA
"92","PRFE","Pulsera","TargetVar","S_Nblocks_day_total_MOD",0.0106,0.3593,0.8976,0.0449,0.4849,0.5866,-0.0812,0.5017,0.3251,NA,NA,NA,0.0456,0.2658,0.5808,NA,NA,NA
"93","PRFE","Pulsera","TargetVar","S_Nblocks_day_total_VIG",0.0771,0.9884,0.35,-0.1604,0.3049,0.0508,0.1653,0.9054,0.044,NA,NA,NA,7e-04,0.9998,0.9928,NA,NA,NA
"94","PRFE","Pulsera","TargetVar","S_Nblocks_day_VIG_unbt",0.1346,0.1491,0.1017,-0.2329,0.3478,0.0043,0.2155,0.5065,0.0083,NA,NA,NA,0.0333,0.0637,0.6872,NA,NA,NA
"95","PRFE","Pulsera","TargetVar","S_Nblocks_spt_sleep",0.1665,0.1722,0.0425,-0.2296,0.1318,0.0048,0.176,0.5022,0.0318,NA,NA,NA,0.0808,0.1766,0.3275,NA,NA,NA
"96","PRFE","Pulsera","TargetVar","S_Nblocks_spt_wake_IN",-0.1144,0.3827,0.1648,0.0337,0.3906,0.6832,0.0716,0.3551,0.3858,NA,NA,NA,-0.1397,0.4624,0.0893,NA,NA,NA
"97","PRFE","Pulsera","TargetVar","S_Nblocks_spt_wake_LIG",-0.1056,0.4312,0.2,0.032,0.453,0.6989,0.0648,0.488,0.4325,NA,NA,NA,-0.1284,0.4044,0.1186,NA,NA,NA
"98","PRFE","Pulsera","TargetVar","S_Nblocks_spt_wake_MOD",-0.0986,0.194,0.2316,0.031,0.2828,0.7078,0.0587,0.3052,0.4767,NA,NA,NA,-0.1191,0.2243,0.1478,NA,NA,NA
"99","PRFE","Pulsera","TargetVar","S_Nblocks_spt_wake_VIG",-0.0991,0.1242,0.2291,-0.0021,0.3034,0.9793,0.1107,0.8673,0.1791,NA,NA,NA,-0.1424,0.0122,0.0833,NA,NA,NA
"100","PRFE","Pulsera","TargetVar","S_Nbouts_day_IN_bts_1_10",0.0317,0.2152,0.7015,0.0246,0.2958,0.7659,-0.0724,0.2692,0.38,NA,NA,NA,0.0617,0.281,0.4548,NA,NA,NA
"101","PRFE","Pulsera","TargetVar","S_Nbouts_day_IN_bts_10_30",0.1,0.239,0.225,-0.1389,0.1957,0.0911,0.1073,0.8171,0.1929,NA,NA,NA,0.0478,0.1,0.5624,NA,NA,NA
"102","PRFE","Pulsera","TargetVar","S_Nbouts_day_IN_bts_30",0.0328,0.1105,0.6912,-0.3417,0.2539,0,0.4945,0.451,0,NA,NA,NA,-0.1853,0.0583,0.0237,NA,NA,NA
"103","PRFE","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_1_10",-0.0342,0.3043,0.6788,0.2039,0.4327,0.0126,-0.2793,0.5188,6e-04,NA,NA,NA,0.0898,0.2037,0.2762,NA,NA,NA
"104","PRFE","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_10",-0.3408,0.0375,0,0.4644,0.0687,0,-0.3514,0.2214,0,NA,NA,NA,-0.1692,0.0619,0.0391,NA,NA,NA
"105","PRFE","Pulsera","TargetVar","S_Nbouts_day_MVPA_bts_1",0.129,0.9609,0.117,-0.0193,0.5938,0.8156,-0.1098,0.786,0.1826,NA,NA,NA,0.1703,0.9885,0.0379,NA,NA,NA
"106","PRFE","Pulsera","TargetVar","S_night_number",-0.1375,0.784,0.0944,-0.0266,0.7962,0.7473,0.1902,0.9584,0.0202,NA,NA,NA,-0.2136,0.3262,0.0089,NA,NA,NA
"107","PRFE","Pulsera","TargetVar","S_nonwear_perc_day",-0.0425,0.8072,0.6069,-0.0789,0.4572,0.3389,0.1684,0.2362,0.0401,NA,NA,NA,-0.1139,0.9981,0.1665,NA,NA,NA
"108","PRFE","Pulsera","TargetVar","S_nonwear_perc_day_spt",-0.2029,0.0727,0.0131,0.2747,0.3931,7e-04,-0.2063,0.5996,0.0116,NA,NA,NA,-0.102,0.0089,0.2156,NA,NA,NA
"109","PRFE","Pulsera","TargetVar","S_nonwear_perc_spt",-0.1635,0.037,0.0463,0.2273,0.4224,0.0053,-0.1755,0.635,0.0323,NA,NA,NA,-0.0782,0.0016,0.3431,NA,NA,NA
"110","PRFE","Pulsera","TargetVar","S_quantile_mostactive30min_mg",0.0288,0.4564,0.7273,0.0372,0.4615,0.6526,-0.0889,0.4615,0.2811,NA,NA,NA,0.0662,0.4615,0.4225,NA,NA,NA
"111","PRFE","Pulsera","TargetVar","S_quantile_mostactive60min_mg",0.0271,0.5035,0.7429,0.0455,0.4614,0.5816,-0.0999,0.5147,0.2253,NA,NA,NA,0.0694,0.5008,0.4003,NA,NA,NA
"112","PRFE","Pulsera","TargetVar","S_sleep_efficiency",0.1977,0.4564,0.0157,-0.0586,0.4615,0.478,-0.1232,0.4615,0.1344,NA,NA,NA,0.2412,0.4615,0.003,NA,NA,NA
"114","PRFE","Pulsera","TargetVar","S_sleeponset",-0.0828,0.4564,0.3155,0.1599,0.4615,0.0514,-0.1585,0.4615,0.0536,NA,NA,NA,-0.0091,0.4615,0.9121,NA,NA,NA
"115","PRFE","Pulsera","TargetVar","S_wakeup",0.0869,0.4564,0.2917,-0.041,0.4615,0.6197,-0.0306,0.4615,0.7114,NA,NA,NA,0.0958,0.4615,0.2453,NA,NA,NA
"117","PRFE","Pulsera","TargetVar","S_window_number",-0.1562,0.4582,0.0571,-0.0152,0.8592,0.8544,0.1927,0.9733,0.0185,NA,NA,NA,-0.2324,0.0259,0.0043,NA,NA,NA
"119","ALPA","Diario","TargetVar","D_animus",0.357,0,0,0.0478,0.0018,0.4798,-0.3838,0,0,NA,NA,NA,0.4049,0,0,NA,NA,NA
"120","ALPA","Diario","TargetVar","D_anxiety",0.0159,0,0.8137,0.4906,0,0,-0.4468,0,0,NA,NA,NA,0.181,0,0.007,NA,NA,NA
"121","ALPA","Diario","TargetVar","D_caffeine",-0.0129,0.204,0.8485,-0.0623,0.9551,0.3563,0.0672,0.0971,0.3199,NA,NA,NA,-0.0349,0.032,0.6061,NA,NA,NA
"122","ALPA","Diario","TargetVar","D_concentration",-0.6055,0,0,0.0777,0.1936,0.2498,0.5113,0,0,NA,NA,NA,-0.6337,0,0,NA,NA,NA
"124","ALPA","Diario","TargetVar","D_irritability",0.2165,0.0043,0.0012,0.0315,0.7951,0.641,-0.235,0.0019,4e-04,NA,NA,NA,0.2464,8e-04,2e-04,NA,NA,NA
"125","ALPA","Diario","TargetVar","D_motivation",0.2783,1e-04,0,-0.0868,0.4765,0.1986,-0.1901,3e-04,0.0046,NA,NA,NA,0.2742,0,0,NA,NA,NA
"126","ALPA","Diario","TargetVar","D_observation_string_length",0.0348,0,0.6064,0.3335,0,0,-0.3267,0,0,NA,NA,NA,0.1492,0,0.0265,NA,NA,NA
"127","ALPA","Diario","TargetVar","D_sleep_duration",-0.2881,0.8766,0,0.0993,0.9966,0.1413,0.1885,0.2991,0.0049,NA,NA,NA,-0.2808,0.248,0,NA,NA,NA
"128","ALPA","Diario","TargetVar","D_sleep_quality",-0.1901,0.037,0.0046,0.0017,0.3393,0.9799,0.1805,0.0502,0.0071,NA,NA,NA,-0.2065,0.0175,0.002,NA,NA,NA
"129","ALPA","Diario","TargetVar","D_sleep_time",0.1256,0.926,0.0624,-0.1754,0.9962,0.009,0.034,0.6761,0.615,NA,NA,NA,0.0783,0.324,0.2464,NA,NA,NA
"130","ALPA","Diario","TargetVar","D_sleep_zenith",-0.2669,0.4185,1e-04,0.0295,0.8719,0.6624,0.2295,0.2212,6e-04,NA,NA,NA,-0.2809,0.0933,0,NA,NA,NA
"131","ALPA","Diario","TargetVar","D_slowness_fill_form",-0.0247,0.078,0.7151,0.3693,0.0105,0,-0.3012,0.3829,0,NA,NA,NA,0.0963,0.6373,0.1536,NA,NA,NA
"132","ALPA","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.0188,0.078,0.7811,0.3958,0.0105,0,-0.3301,0.3829,0,NA,NA,NA,0.1116,0.6373,0.0981,NA,NA,NA
"133","ALPA","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.0188,0.078,0.7811,0.3958,0.0105,0,-0.3301,0.3829,0,NA,NA,NA,0.1116,0.6373,0.0981,NA,NA,NA
"134","ALPA","Diario","TargetVar","D_time_start_form",0.3678,0.0062,0,0.3113,0.1199,0,-0.626,0.0121,0,NA,NA,NA,0.5045,0.0102,0,NA,NA,NA
"135","ALPA","Diario","TargetVar","D_tobacco",0.3341,0,0,-0.0396,1,0.5585,-0.2851,2e-04,0,NA,NA,NA,0.3507,0,0,NA,NA,NA
"136","ALPA","Diario","TargetVar","D_wakeup_time",-0.3128,0.6644,0,0.0659,0.9747,0.3295,0.2415,0.5083,3e-04,NA,NA,NA,-0.3187,0.1057,0,NA,NA,NA
"138","ALPA","Pulsera","TargetVar","S_ACC_day_IN_bts_1_10_mg",-0.0055,0.4573,0.9455,0.0661,0.4622,0.4139,-0.0556,0.4622,0.4921,NA,NA,NA,0.0165,0.4622,0.8385,NA,NA,NA
"139","ALPA","Pulsera","TargetVar","S_ACC_day_IN_bts_10_30_mg",-0.0756,0.4573,0.3499,0.0069,0.4622,0.932,0.0691,0.4622,0.3928,NA,NA,NA,-0.0816,0.4622,0.3128,NA,NA,NA
